league_ID,country,tier,league_name,league_link
1,ENGLAND,1,Premier League,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1
2,SPAIN,1,LaLiga,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1
3,ITALY,1,Serie A,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1
4,GERMANY,1,Bundesliga,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
5,FRANCE,1,Ligue 1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1
